iter	Passed	Remaining
0	0	75
1	1	67
2	1	63
3	2	57
4	2	56
5	3	55
6	4	54
7	4	54
8	5	53
9	5	52
10	6	51
11	7	53
12	8	53
13	8	54
14	9	53
15	10	52
16	10	52
17	11	51
18	11	50
19	12	49
20	12	48
21	13	47
22	14	47
23	14	46
24	15	45
25	15	44
26	16	44
27	16	43
28	17	42
29	18	42
30	18	41
31	19	40
32	19	40
33	20	39
34	20	38
35	21	38
36	22	37
37	22	37
38	23	36
39	23	35
40	24	35
41	24	34
42	25	33
43	25	32
44	26	32
45	26	31
46	27	31
47	28	30
48	28	29
49	29	29
50	29	28
51	30	28
52	30	27
53	31	26
54	31	25
55	32	25
56	32	24
57	33	24
58	33	23
59	34	23
60	35	22
61	35	22
62	36	21
63	37	21
64	37	20
65	38	19
66	39	19
67	40	18
68	40	18
69	41	17
70	41	17
71	42	16
72	42	15
73	43	15
74	44	14
75	44	14
76	45	13
77	45	12
78	46	12
79	46	11
80	47	11
81	48	10
82	48	9
83	49	9
84	49	8
85	50	8
86	51	7
87	51	7
88	52	6
89	53	5
90	53	5
91	54	4
92	55	4
93	55	3
94	56	2
95	57	2
96	57	1
97	58	1
98	58	0
99	59	0
