iter	Passed	Remaining
0	142	142549
1	143	71784
2	144	48162
3	145	36335
4	146	29251
5	148	24632
6	149	21277
7	151	18731
8	152	16741
9	153	15173
10	154	13891
11	155	12809
12	156	11889
13	157	11103
14	158	10414
15	159	9820
16	160	9296
17	165	9025
18	167	8630
19	168	8239
20	169	7899
21	170	7583
22	171	7287
23	172	7014
24	173	6762
25	174	6531
26	175	6327
27	178	6211
28	181	6064
29	183	5939
30	184	5777
31	185	5619
32	186	5472
33	187	5334
34	188	5204
35	190	5089
36	191	4973
37	194	4919
38	196	4842
39	198	4759
40	199	4662
41	200	4580
42	202	4502
43	203	4419
44	204	4338
45	205	4260
46	206	4190
47	208	4132
48	209	4072
49	210	4006
50	211	3942
51	213	3890
52	214	3834
53	215	3775
54	216	3724
55	217	3670
56	218	3618
57	220	3584
58	222	3545
59	223	3504
60	224	3462
61	226	3429
62	227	3386
63	228	3344
64	229	3304
65	230	3264
66	232	3235
67	233	3199
68	234	3168
69	236	3147
70	238	3126
71	239	3092
72	240	3059
73	241	3026
74	242	2995
75	244	2975
76	245	2945
77	246	2918
78	248	2893
79	249	2873
80	252	2863
81	254	2845
82	254	2814
83	255	2789
84	257	2767
85	258	2742
86	258	2717
87	259	2692
88	260	2668
89	261	2646
90	263	2629
91	264	2607
92	266	2600
93	268	2588
94	270	2572
95	271	2555
96	272	2534
97	273	2514
98	274	2495
99	275	2477
100	276	2465
101	277	2447
102	278	2429
103	282	2435
104	284	2423
105	285	2406
106	286	2389
107	287	2373
108	288	2357
109	289	2341
110	290	2325
111	291	2310
112	292	2295
113	293	2280
114	294	2265
115	295	2255
116	297	2241
117	298	2230
118	299	2215
119	300	2201
120	301	2187
121	301	2172
122	302	2159
123	303	2146
124	305	2135
125	306	2123
126	306	2110
127	307	2098
128	308	2086
129	310	2076
130	311	2068
131	313	2058
132	313	2046
133	314	2035
134	315	2023
135	316	2012
136	317	2001
137	318	1991
138	319	1981
139	320	1970
140	321	1960
141	322	1947
142	323	1937
143	324	1927
144	326	1926
145	327	1918
146	328	1908
147	329	1899
148	330	1890
149	331	1880
150	332	1871
151	333	1862
152	334	1853
153	335	1844
154	336	1835
155	338	1828
156	339	1820
157	339	1811
158	341	1808
159	343	1802
160	343	1792
161	344	1784
162	346	1776
163	347	1770
164	348	1762
165	349	1754
166	350	1747
167	351	1740
168	352	1733
169	353	1726
170	354	1718
171	356	1718
172	358	1712
173	359	1705
174	360	1698
175	361	1690
176	362	1683
177	363	1676
178	363	1669
179	364	1662
180	365	1655
181	366	1648
182	367	1641
183	368	1635
184	369	1628
185	371	1626
186	373	1622
187	374	1616
188	375	1610
189	376	1604
190	377	1597
191	378	1591
192	379	1585
193	380	1579
194	381	1573
195	382	1567
196	383	1561
197	384	1555
198	386	1553
199	387	1549
200	388	1544
201	389	1538
202	390	1532
203	391	1527
204	392	1521
205	393	1515
206	394	1510
207	395	1504
208	396	1499
209	397	1494
210	398	1488
211	399	1483
212	399	1477
213	401	1476
214	403	1472
215	404	1467
216	405	1462
217	406	1456
218	406	1450
219	407	1445
220	408	1440
221	409	1434
222	410	1429
223	411	1424
224	412	1419
225	412	1414
226	413	1409
227	414	1404
228	416	1400
229	417	1396
230	418	1392
231	419	1387
232	420	1383
233	421	1378
234	422	1373
235	422	1369
236	423	1364
237	424	1360
238	425	1355
239	426	1351
240	427	1347
241	428	1342
242	429	1338
243	432	1339
244	433	1336
245	434	1332
246	435	1328
247	436	1324
248	437	1320
249	438	1315
250	440	1313
251	441	1309
252	442	1305
253	442	1300
254	443	1296
255	444	1292
256	446	1290
257	448	1289
258	449	1286
259	450	1282
260	451	1279
261	453	1276
262	454	1272
263	455	1268
264	455	1264
265	456	1260
266	457	1257
267	459	1254
268	460	1251
269	462	1249
270	463	1246
271	464	1243
272	465	1240
273	466	1237
274	467	1233
275	468	1229
276	469	1226
277	471	1223
278	472	1222
279	473	1218
280	474	1215
281	476	1212
282	477	1208
283	478	1205
284	479	1203
285	480	1200
286	481	1196
287	482	1193
288	483	1189
289	484	1186
290	485	1183
291	487	1181
292	488	1178
293	489	1175
294	490	1171
295	491	1168
296	492	1165
297	493	1162
298	494	1159
299	495	1156
300	496	1153
301	497	1149
302	498	1146
303	499	1144
304	501	1141
305	503	1142
306	505	1141
307	507	1139
308	508	1137
309	511	1139
310	515	1141
311	516	1138
312	522	1147
313	524	1145
314	525	1143
315	527	1142
316	529	1140
317	530	1137
318	533	1138
319	535	1137
320	536	1134
321	537	1132
322	538	1129
323	539	1126
324	541	1124
325	542	1121
326	543	1119
327	544	1116
328	546	1113
329	547	1111
330	549	1110
331	550	1108
332	552	1106
333	553	1103
334	554	1101
335	556	1098
336	560	1102
337	561	1099
338	562	1096
339	574	1114
340	575	1112
341	577	1111
342	579	1109
343	581	1108
344	584	1110
345	586	1109
346	588	1106
347	589	1104
348	590	1101
349	591	1098
350	593	1097
351	595	1096
352	598	1096
353	600	1095
354	601	1093
355	603	1091
356	606	1091
357	607	1090
358	612	1093
359	615	1093
360	619	1096
361	620	1094
362	622	1092
363	625	1092
364	630	1097
365	632	1095
366	633	1093
367	636	1092
368	637	1089
369	638	1087
370	641	1087
371	643	1086
372	644	1083
373	649	1086
374	650	1084
375	652	1082
376	653	1079
377	655	1079
378	658	1078
379	660	1078
380	662	1075
381	663	1072
382	664	1070
383	666	1069
384	667	1066
385	670	1066
386	674	1067
387	675	1066
388	683	1073
389	692	1083
390	693	1080
391	695	1078
392	696	1075
393	697	1073
394	699	1070
395	707	1079
396	709	1077
397	711	1076
398	712	1073
399	713	1070
400	719	1074
401	724	1077
402	725	1075
403	726	1072
404	727	1069
405	729	1067
406	731	1065
407	732	1063
408	734	1060
409	735	1059
410	739	1059
411	743	1061
412	746	1061
413	749	1060
414	751	1058
415	753	1057
416	755	1055
417	756	1053
418	758	1051
419	759	1048
420	760	1046
421	762	1044
422	764	1043
423	768	1043
424	769	1041
425	771	1038
426	772	1037
427	773	1034
428	775	1031
429	776	1029
430	778	1027
431	779	1024
432	780	1021
433	781	1019
434	782	1016
435	784	1015
436	786	1013
437	787	1010
438	788	1007
439	789	1005
440	791	1003
441	798	1007
442	801	1007
443	802	1005
444	804	1003
445	805	1000
446	806	997
447	813	1002
448	815	1000
449	817	999
450	819	997
451	820	994
452	821	992
453	826	993
454	827	991
455	828	988
456	830	986
457	831	983
458	832	980
459	833	978
460	834	975
461	835	973
462	836	970
463	838	968
464	839	966
465	841	964
466	842	961
467	844	959
468	845	956
469	846	954
470	847	951
471	848	949
472	849	946
473	851	944
474	852	941
475	853	939
476	854	937
477	856	935
478	859	935
479	860	932
480	862	930
481	863	927
482	864	925
483	865	923
484	867	921
485	869	919
486	871	917
487	872	915
488	874	914
489	875	911
490	877	909
491	878	907
492	879	904
493	880	902
494	882	899
495	886	901
496	888	899
497	889	896
498	890	894
499	891	891
500	893	889
501	894	887
502	895	884
503	896	882
504	899	881
505	902	881
506	904	879
507	905	876
508	906	874
509	907	872
510	908	869
511	910	867
512	911	865
513	918	868
514	919	866
515	921	864
516	925	864
517	926	862
518	928	860
519	929	858
520	931	856
521	933	854
522	934	852
523	935	849
524	936	847
525	938	845
526	939	843
527	940	841
528	942	839
529	946	839
530	947	837
531	949	834
532	950	832
533	951	830
534	952	827
535	953	825
536	954	823
537	957	822
538	961	822
539	963	820
540	964	818
541	965	815
542	966	813
543	968	811
544	969	809
545	971	808
546	976	808
547	977	806
548	978	804
549	979	801
550	981	799
551	982	797
552	986	797
553	993	799
554	996	798
555	998	797
556	999	795
557	1000	792
558	1002	790
559	1004	789
560	1007	788
561	1009	786
562	1011	784
563	1012	782
564	1013	780
565	1015	778
